"Код ошибки","Описание","Устранение ошибки","Тип ошибки"
"139","В ФН есть неотправленные ФД Произошел сбой кассы.","Обратитесь к администратору.","driver"
"140","Исчерпан ресурс ожидания передачи сообщения в ФН Произошел сбой кассы.","Обратитесь к администратору.","driver"
"141","Продолжительность смены ФН более 24 часов Произошел сбой кассы.","Обратитесь к администратору.","driver"
"142","Неверная разница во времени между двумя операциями ФН Произошел сбой кассы.","Обратитесь к администратору.","driver"
"143","Некорректная СНО Указана некорректная система налогообложения.","Исправьте чек и отправьте повторно.","driver"
"144","Недопустимый номер ставки налога Неверная ставка налога.","Необходимо исправить чек и отправить повторно.","driver"
"145","Недопустимый тип оплаты товара Неверный тип оплаты.","Необходимо исправить чек и отправить повторно.","driver"
"146","Недопустимый тип кода товара Некорректный запрос.","Обратитесь к администратору.","driver"
"147","Недопустима регистрация подакцизного товара Некорректный запрос.","Необходимо исправить чек и отправить повторно.","driver"
"148","Ошибка программирования реквизита Произошел сбой кассы.","Обратитесь к администратору.","driver"
"149","Неверный тип счетчика Произошел сбой кассы.","Обратитесь к администратору.","driver"
"154","Недопустимое значение режима работы с налогом Произошел сбой кассы.","Обратитесь к администратору.","driver"
"158","Неразрешенные реквизиты Произошел сбой кассы.","Обратитесь к администратору.","driver"
"159","Ошибка интерфейса ФН Произошел сбой кассы.","Обратитесь к администратору.","driver"
"160","Дублирование данных Произошел сбой кассы.","Обратитесь к администратору.","driver"
"161","Не указаны обязательные реквизиты Некорректный запрос.","Необходимо исправить чек и отправить повторно.","driver"
"162","Ошибка чтения документа из ФН Произошел сбой кассы.","Обратитесь к администратору.","driver"
"163","Переполнение чисел с плавающей точкой Некорректный запрос.","Необходимо исправить чек и отправить повторно.","driver"
"165","Внутренняя ошибка ККТ Произошел сбой кассы.","Обратитесь к администратору.","driver"
"166","ФН не найден Произошел сбой кассы.","Обратитесь к администратору.","driver"
"167","Невозможно записать реквизит агента Произошел сбой кассы.","Обратитесь к администратору.","driver"
"168","Недопустимое сочетания реквизитов 1002 и 1056 Произошел сбой кассы.","Обратитесь к администратору.","driver"
"169","Недопустимое сочетания реквизитов 1002 и 1017 Произошел сбой кассы.","Обратитесь к администратору.","driver"
"172","Кассир не зарегистрирован Произошел сбой кассы.","Обратитесь к администратору.","driver"
"177","Закрытие чека прервано Произошел сбой кассы.","Обратитесь к администратору.","driver"
"178","Получение документа из ФН прервано Произошел сбой кассы.","Обратитесь к администратору.","driver"
"179","Сбой часов Произошел сбой кассы.","Обратитесь к администратору.","driver"
"180","Сбой памяти Произошел сбой кассы.","Обратитесь к администратору.","driver"
"181","Сбой микросхемы Произошел сбой кассы.","Обратитесь к администратору.","driver"
"183","Недопустимое значение MAC-адреса Произошел сбой кассы.","Обратитесь к администратору.","driver"
"188","Требуется перезагрузка ККТ Произошел сбой кассы.","Обратитесь к администратору.","driver"
"189","Подходящие лицензии не найдены Произошел сбой кассы.","Обратитесь к администратору.","driver"
"190","Неверная версия ФФД Произошел сбой кассы.","Обратитесь к администратору.","driver"
"191","Параметр доступен только для чтения Произошел сбой кассы.","Обратитесь к администратору.","driver"
"192","Неверный тип кода товара Произошел сбой кассы.","Обратитесь к администратору.","driver"
"193","Неверное значение GTIN Некорректный запрос.","Необходимо исправить чек и отправить повторно.","driver"
"194","Отрицательный результат математической операции Произошел сбой кассы.","Обратитесь к администратору.","driver"
"195","Недопустимое сочетание реквизитов Произошел сбой кассы.","Обратитесь к администратору.","driver"
"196","Ошибка регистрации кассира Произошел сбой кассы.","Обратитесь к администратору.","driver"
"197","Данный канал Интернет отсутствует в ККТ Произошел сбой кассы.","Обратитесь к администратору.","driver"
"198","Дата и время не синхронизированы Произошел сбой кассы.","Обратитесь к администратору.","driver"
"199","Ошибка электронного журнала Произошел сбой кассы.","Обратитесь к администратору.","driver"
"200","Документ открыт операция невозможна Произошел сбой кассы.","Обратитесь к администратору.","driver"
"201","Документ закрыт операция невозможна Произошел сбой кассы.","Обратитесь к администратору.","driver"
"203","Произошла критичная ошибка, документ необходимо отменить Произошел сбой кассы.","Обратитесь к администратору.","driver"
"204","Регистры ККТ еще не инициализированы Произошел сбой кассы.","Обратитесь к администратору.","driver"
"205","Требуется регистрация итога Произошел сбой кассы.","Обратитесь к администратору.","driver"
"206","Сбой таблицы настроек Произошел сбой кассы.","Обратитесь к администратору.","driver"
"207","Сбой счетчиков и регистров ККТ Произошел сбой кассы.","Обратитесь к администратору.","driver"
"208","Сбой пользовательской памяти Произошел сбой кассы.","Обратитесь к администратору.","driver"
"209","Сбой сервисных регистров Произошел сбой кассы.","Обратитесь к администратору.","driver"
"210","Сбой реквизитов ККТ Произошел сбой кассы.","Обратитесь к администратору.","driver"
"211","ККТ уже в режиме обновления конфигурации Произошел сбой кассы.","Обратитесь к администратору.","driver"
"212","Конфигурация не прошла проверку Произошел сбой кассы.","Обратитесь к администратору.","driver"
"213","Аппаратный канал отсутствует, выключен или ещё не проинициализирован Произошел сбой кассы.","Обратитесь к администратору.","driver"
"214","Сетевой интерфейс не подключен, или на нём не получен IP- адрес Произошел сбой кассы.","Обратитесь к администратору.","driver"
"215","Недопустимое сочетание реквизитов 1212 и 1030 Некорректный запрос.","Необходимо исправить чек и отправить повторно.","driver"
"216","Некорректный признак способа расчета Неверный признак способа расчета.","Необходимо исправить чек и отправить повторно.","driver"
"217","Некорректный признак предмета расчета Неверный признак предмета расчета.","Необходимо исправить чек и отправить повторно.","driver"
"221","Сетевой интерфейс занят Произошел сбой кассы.","Обратитесь к администратору.","driver"
"224","Архив ФН закрыт Произошел сбой кассы.","Обратитесь к администратору.","driver"
"225","Нужно выполнить регистрацию / перерегистрацию Произошел сбой кассы.","Обратитесь к администратору.","driver"
"226","Операция невозможна, идет обновление ПО ККТ Произошел сбой кассы.","Обратитесь к администратору.","driver"
"227","Неверный итог чека Произошел сбой кассы.","Обратитесь к администратору.","driver"
"228","Запрещена одновременная передача КМ и реквизита 1162 Некорректный запрос.","Необходимо исправить чек и отправить повторно.","driver"
"230","Ошибка цифровой подписи Произошел сбой кассы.","Обратитесь к администратору.","driver"
"231","Некорректная сумма акциза Некорректная сумма акциза.","Необходимо исправить чек и отправить повторно.","driver"
"241","Соединение с ККТ потеряно Произошел сбой кассы.","Обратитесь к администратору.","driver"
"243","Некорректная сумма налога Некорректная сумма налога.","Необходимо исправить чек и отправить повторно.","driver"
"244","Некорректное значение типа кода маркировки Некорректный запрос.","Необходимо исправить чек и отправить повторно.","driver"
"245","Аппаратная ошибка при сохранении лицензии Произошел сбой кассы.","Обратитесь к администратору.","driver"
"246","Подпись лицензии некорректна Произошел сбой кассы.","Обратитесь к администратору.","driver"
"247","Лицензия не подходит для данной ККТ Произошел сбой кассы.","Обратитесь к администратору.","driver"
"248","Срок действия лицензии истёк Произошел сбой кассы.","Обратитесь к администратору.","driver"
"249","Документ был отменен Произошел сбой кассы.","Обратитесь к администратору.","driver"
"251","Длина клише превышает максимальное значение Произошел сбой кассы.","Обратитесь к администратору.","driver"
"258","Ошибка чтения/записи данных кеша Произошел сбой кассы.","Обратитесь к администратору.","driver"
"261","Отсутствует позиция оплаты Некорректный запрос.","Необходимо исправить чек и отправить повторно.","driver"
"262","Таймаут выполнения команды истек Произошел сбой кассы.","Обратитесь к администратору.","driver"
"263","Режим ФР выключен Произошел сбой кассы.","Обратитесь к администратору.","driver"
"264","Не найдена запись в OTP Произошел сбой кассы.","Обратитесь к администратору.","driver"
"265","Подакцизный товар без акциза зарегистрирован в чеке Некорректный запрос.","Необходимо исправить чек и отправить повторно.","driver"
"402","Ошибка соединения с сервером Произошел сбой кассы.","Обратитесь к администратору.","driver"
"404","Некорректное значение статуса КМ Произошел сбой кассы.","Обратитесь к администратору.","driver"
"405","Неверный код GS1 Некорректный запрос.","Необходимо исправить чек и отправить повторно.","driver"
"406","Запрещена работа с маркированным товарами Произошел сбой кассы.","Обратитесь к администратору.","driver"
"407","Работа с маркированными товарами временно заблокирована Произошел сбой кассы.","Обратитесь к администратору.","driver"
"408","Переполнена таблица хранения КМ В чеке указано более 128 КМ. ФН допускает включение в чек не более 128 КМ.","Необходимо исправить чек и отправить повторно.","driver"
"409","Некорректный код маркировки Некорректный запрос.","Необходимо исправить чек и отправить повторно.","driver"
"410","Неверное состояние Произошел сбой кассы.","Обратитесь к администратору.","driver"
"411","Ошибка обмена с сервером ОФД или ИСМ Произошел сбой кассы.","Обратитесь к администратору.","driver"
"412","Некорректное значение единиц измерения Некорректный запрос.","Необходимо исправить чек и отправить повторно.","driver"
"413","Операция не разрешена в данной версии ФФД Произошел сбой кассы.","Обратитесь к администратору.","driver"
"414","Операция не разрешена, при регистрации не был установлен признак ТМТ Произошел сбой кассы.","Обратитесь к администратору.","driver"
"418","Требуется повторное проведение процедуры обновления ключей Произошел сбой кассы.","Обратитесь к администратору.","driver"
"419","Ошибка сервиса обновления ключей проверки КМ Произошел сбой кассы.","Обратитесь к администратору.","driver"
"420","КМ не проверен в ФН Произошел сбой кассы.","Обратитесь к администратору.","driver"
"421","Истёк таймаут проверки КМ Произошел сбой кассы.","Обратитесь к администратору.","driver"
"501","Ошибка парсинга чека / запроса Произошел сбой кассы.","Обратитесь к администратору.","driver"
"502","Выполнение прервано из-за предыдущих ошибок Произошел сбой кассы.","Обратитесь к администратору.","driver"
"2146233033","Ошибка форматирования чека Некорректно указано значение одного из полей в запросе или поле отсутствует.","Необходимо исправить чек и отправить повторно.","system"
